Top100Year,SongTitle,Artist,LyricsStatus,Lyrics,ReleaseYear,Genre
2012,Call Me Maybe,Carly Rae Jepsen,True,"I threw a wish in the well
Don't ask me, I'll never tell
I looked to you as it fell
And now you're in my way
I trade my soul for a wish
Pennies and dimes for a kiss
I wasn't looking for this
But now you're in my way
Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?
Hey, I just met you, and this is crazy
But here's my number, so call me, maybe
It's hard to look right at you, baby
But here's my number, so call me, maybe
Hey, I just met you, and this is crazy
But here's my number, so call me, maybe
And all the other boys try to chase me
But here's my number, so call me, maybe
You took your time with the call
I took no time with the fall
You gave me nothing at all
But still, you're in my way
I beg and borrow and steal
At first sight, and it's real
I didn't know I would feel it
But it's in my way
Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?
Hey, I just met you, and this is crazy
But here's my number, so call me, maybe
It's hard to look right at you, baby
But here's my number, so call me, maybe
Hey, I just met you, and this is crazy
But here's my number, so call me, maybe
And all the other boys try to chase me
But here's my number, so call me, maybe
Before you came into my life, I missed you so bad
I missed you so bad, I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that
I missed you so, so bad
(Bad, bad, bad, bad, bad, bad)
It's hard to look right at you, baby
But here's my number, so call me, maybe
Hey, I just met you, and this is crazy
But here's my number, so call me, maybe
And all the other boys try to chase me
But here's my number, so call me, maybe
Before you came into my life, I missed you so bad
I missed you so bad, I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that
So call me maybe",2012,"R&B/Soul, Pop"
2012,Payphone,Maroon 5 Featuring Wiz Khalifa,True,"I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone?
Baby, it's all wrong
Where are the plans we made for two?
Yeah, I, I know it's hard to remember
The people we used to be
It's even harder to picture
That you're not here next to me
You say it's too late to make it
But is it too late to try?
And in our time that you wasted
All of our bridges burned down
I've wasted my nights
You turned out the lights
Now I'm paralyzed
Still stuck in that time, when we called it love
But even the sun sets in paradise
I'm at a payphone, trying to call home
All of my change I spent on you
Where have the times gone?
Baby, it's all wrong
Where are the plans we made for two?
If ""happy ever after"" did exist
I would still be holding you like this
All those fairy tales are full of it
One more stupid love song, I'll be sick, oh
You turned your back on tomorrow
'Cause you forgot yesterday
I gave you my love to borrow
But you just gave it away
You can't expect me to be fine
I don't expect you to care
I know I've said it before
But all of our bridges burned down
I've wasted my nights
You turned out the lights
Now I'm paralyzed
Still stuck in that time
When we called it love
But even the sun sets in paradise
I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone?
Baby, it's all wrong
Where are the plans we made for two?
If ""happy ever after"" did exist
I would still be holding you like this
And all those fairy tales are full of it
One more stupid love song, I'll be sick
Now I'm at a payphone
Ooh-ooh, yeah, yeah
Now, baby, don't hang up
So I can tell you what you need to know
Baby, I'm begging you, just please don't go
So I can tell you what you need to know
Yeah, I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone?
Baby, it's all wrong
Where are the plans we made for two?
If ""happy ever after"" did exist
I would still be holding you like this
And all these fairy tales are full of it
Yeah, one more stupid love song, I'll be sick
Now I'm at a payphone",2012,"R&B/Soul, Pop"
2012,Somebody That I Used To Know,Gotye Featuring Kimbra,True,"Now and then I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me
But felt so lonely in your company
But that was love and it's an ache I still remember
You can get addicted to a certain kind of sadness
Like resignation to the end
Always the end
So when we found that we could not make sense
Well you said that we would still be friends
But I'll admit that I was glad that it was over
But you didn't have to cut me off
Make out like it never happened
And that we were nothing
And I don't even need your love
But you treat me like a stranger
And that feels so rough
You didn't have to stoop so low
Have your friends collect your records
And then change your number
I guess that I don't need that though
Now you're just somebody that I used to know
Now and then I think of all the times you screwed me over
But had me believing it was always something that I'd done
And I don't wanna live that way
Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up on somebody that you used to know...
But you didn't have to cut me off
Make out like it never happened
And that we were nothing
And I don't even need your love
But you treat me like a stranger
And that feels so rough
You didn't have to stoop so low
Have your friends collect your records
And then change your number
I guess that I don't need that though
Now you're just somebody that I used to know
Somebody
I used to know
Somebody
Now you're just somebody that I used to know
Somebody
I used to know
Somebody
Now you're just somebody that I used to know
I used to know
That I used to know
I used to know
Somebody...",2011,"R&B/Soul, Pop"
2012,Wide Awake,Katy Perry,True,"I'm wide awake
I'm wide awake
I'm wide awake
Yeah, I was in the dark
I was falling hard
With an open heart (I'm wide awake)
How did I read the stars so wrong?
(I'm wide awake)
And now it's clear to me
That everything you see
Ain't always what it seems (I'm wide awake)
Yeah, I was dreaming for so long
I wish I knew then, what I know now
Wouldn't dive in, wouldn't bow down
Gravity hurts, you made it so sweet
'Til I woke up on, on the concrete
Falling from cloud nine
Crashing from the high
I'm letting go tonight
Yeah, I'm falling from cloud nine
I'm wide awake
Not losing any sleep
I picked up every piece
And landed on my feet (I'm wide awake)
Need nothing to complete myself, no (I'm wide awake)
Yeah, I am born again
Out of the lion's den
I don't have to pretend (And it's too late)
The story's over now, the end
I wish I knew then, what I know now
Wouldn't dive in, wouldn't bow down
Gravity hurts, you made it so sweet
'Til I woke up on, on the concrete
Falling from cloud nine (It was out of the blue, I'm)
Crashing from the high
I'm letting go tonight (Yeah, I'm letting you go, I'm)
I'm falling from cloud nine (I'm wide awake)
Thunder rumbling
Castles crumbling (I'm wide awake)
I am trying to hold on (I'm wide awake)
God knows that I tried
Seeing the bright side (I'm wide awake)
I'm not blind anymore
I'm wide awake
I'm wide awake
Yeah, I'm falling from cloud nine (It was out of the blue, I'm)
Crashing from the high
You know, I'm letting go tonight (Yeah, I'm letting you go, I'm)
I'm falling from cloud nine
I'm wide awake
I'm wide awake
I'm wide awake
I'm wide awake
I'm wide awake",2012,"R&B/Soul, Pop, UK R&B"
2012,Where Have You Been,Rihanna,True,"I've been everywhere, man
Looking for someone
Someone who can please me
Love me all night long
I've been everywhere, man
Looking for you, babe
Looking for you, babe
Searching for you, babe
Where have you been?
'Cause I never see you out
Are you hiding from me, yeah?
Somewhere in the crowd
Yeah, yeah, yeah, yeah
Yeah, yeah (oh), yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Where have you been
All my life? All my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
I've been everywhere, man
Looking for someone
Someone who can please me
Love me all night long
I've been everywhere, man
Looking for you, babe
Looking for you, babe
Searching for you, baby
Where have you been?
'Cause I never see you out
Are you hiding from me, yeah?
Somewhere in the crowd
Yeah, yeah, yeah, yeah
Yeah, yeah (oh), yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Where have you been
All my life? All my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
Where have you been all my life?
You can have me all you want
Any way, any day
Just show me where you are tonight
Yeah, yeah, yeah (ohh), yeah
Yeah, yeah, yeah, yeah, yeah, yeah (yeah-yeah)
Yeah, yeah, yeah, yeah (ohh)
Yeah, yeah, yeah, yeah, yeah, yeah
I've been everywhere, man
Looking for someone
Someone who can please me
Love me all night long
I've been everywhere, man
Looking for you, babe
Looking for you, babe
Searching for you, babe",2011,"Dance-pop, R&B/Soul, Electro house, Pop, UK R&B"
2012,Lights,Ellie Goulding,True,"I had a way then losing it all on my own
I had a heart then but the queen has been overthrown
And I'm not sleeping now the dark is too hard to beat
And I'm not keeping up the strength I need to push me
You show the lights that stop me turn to stone
You shine them when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone
'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine them when I'm alone
Noises, I play within my head
Touch my own skin and hope they'll still be there
And I think back to when my brother and my sister slept
In another place the only time I feel safe
You show the lights that stop me turn to stone
You shine them when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone
'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine them when I'm alone
(Light, lights, lights, lights
Light, lights, lights, lights
Light, lights, lights, lights
Light, lights)
You show the lights that stop me turn to stone
You shine them when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone
'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine them when I'm alone
Home, home
(Light, lights, lights, lights
Light, lights, lights, lights)
Home, home
(Light, lights, lights, lights
Light, lights, lights, lights)
Home, home
(Light, lights, lights, lights
Light, lights, lights, lights)
Home, home
(Light, lights, lights, lights
Light, lights, lights, lights)",2010,"Alternative/Indie, Dance/Electronic, Pop"
2012,We Are Young,fun. Featuring Janelle Monae,True,"Give me a second I
I need to get my story straight
My friends are in the bathroom getting higher than the Empire State
My lover she's waiting for me just across the bar
My seat's been taken by some sunglasses asking 'bout a scar, and
I know I gave it to you months ago
I know you're trying to forget
But between the drinks and subtle things
The holes in my apologies, you know
I'm trying hard to take it back
So if by the time the bar closes
And you feel like falling down
I'll carry you home
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun
Now I know that I'm not
All that you got
I guess that I, I just thought
Maybe we could find new ways to fall apart
But our friends are back
So let's raise a cup
'Cause I found someone to carry me home
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun
Carry me home tonight (na na na na na na)
Just carry me home tonight (na na na na na na)
Carry me home tonight (na na na na na na)
Just carry me home tonight (na na na na na na)
The moon is on my side (na na na na na na)
I have no reason to run (na na na na na na)
So will someone come and carry me home tonight (na na na na na na)
The angels never arrived (na na na na na na)
But I can hear the choir (na na na na na na)
So will someone come and carry me home (na na na na na na)
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun
Tonight
We are young
So let's set the world on fire
We can burn brighter than the sun
So if by the time the bar closes
And you feel like falling down
I'll carry you home tonight",2012,"Alternative/Indie, Dance/Electronic, Pop"
2012,Starships,Nicki Minaj,True,"Uh, let's go to the beach-each
Let's go get a wave
They say what they gonna say
Have a drink, clink, found the Bud Light
Bad bitches like me is hard to come by
The Patrón-ón? Let's go get it on
The zone-one? Yes, I'm in the zone
Is it two, three? Leave a good tip
I'ma blow all of my money and don't give two shits, uh
I'm on the floor, floor
I love to dance
So give me more, more, 'til I can't stand
Get on the floor, floor
Like it's your last chance
If you want more, more
Then here I am
Starships were meant to fly
Hands up and touch the sky
Can't stop 'cause we're so high
Let's do this one more time, oh
Starships were meant to fly
Hands up and touch the sky
Let's do this one last time
Can't stop (we're higher than a motherfucker)
Jump in my hoopty, hoopty, hoop, I own that
And I ain't paying my rent this month, I owe that
But fuck who you want and fuck who you like
Dancehall life, there's no end in sight
Twinkle, twinkle, little star
Now everybody, let me hear you say ray, ray, ray
Go spend all your money 'cause today payday
And if you're a G, you a G, G, G
My name is Onika, you can call me Nicki (woo)
Get on the floor, floor
Like it's your last chance
If you want more, more
Then here I am
Starships were meant to fly
Hands up and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
Starships were meant to fly
Hands up and touch the sky
Let's do this one last time
Can't stop (we're higher than a motherfucker)
Starships were meant to fly
Hands up and touch the sky
Can't stop 'cause we're so high
Let's do this one more time
Starships were meant to fly
Hands up and touch the sky
Let's do this one last time
Can't stop (we're higher than a motherfucker)",2012,"Eurodance, Synth-pop, Hip-Hop/Rap"
2012,What Makes You Beautiful,One Direction,False,,11 September 2011,"Eurodance, Synth-pop, Hip-Hop/Rap"
2012,Scream,Usher,True,"Ur'sher, baby
Yeah yeah, we did it again
And this time I'ma make you scream
Usher, yeah, man
I see you over there, so hypnotic
Thinking 'bout what I do to that body
I get you like ooh baby baby
Ooh baby baby, ah-ooh baby baby ooh baby baby
Got no drink in my hand
But I'm wasted
Getting drunk of the thought of you naked
I get you like ooh baby baby
Ooh baby baby, ah-ooh baby baby ooh baby baby
And I ain't trying to fight it, to fight it
But you're so magnetic, magnetic
Got one life, just live it, just live it
Now relax, and get on your back
If you wanna scream, yeah
Let me know and I'll take you there
Get you going like ah-ooh
Baby baby ooh baby baby
Ah-ooh baby baby ooh baby
If you wanna turn right
Hope you're ready to go all night
Get you going like ah-ooh
Baby baby ooh baby baby
Ah-ooh baby baby ooh baby
If you wanna scream
Yeah, come on
Kill the lights, shut 'em off
You're electric
Devil eyes telling me come and get it
I have you like
Ooh baby baby ooh baby baby
Ah-ooh baby baby ooh baby baby
Girl tonight you're the prey
I'm the hunter
Take you here, take you there
Take you wonder
Imagine me whispering in your ear
Then I wanna, take off your clothes and put something on ya
And I ain't trying to fight it, to fight it
But you're so magnetic, magnetic
Got one life, just live it, just live it
Now relax, and get on your back
If you wanna scream, yeah
Let me know and I'll take you there
Get you going like ah-ooh
Baby baby ooh baby baby
Ah-ooh baby baby ooh baby
If you wanna turn right
Hope you're ready to go all night
Get you going like ah-ooh
Baby baby ooh baby baby
Ah-ooh baby baby ooh baby
If you wanna scream (I'ma make you scream)
Out, louder, scream (Usher) louder
Louder, louder, louder, louder
Hey, tonight I scream, I'm on need
Oh
Oh (If you wanna scream)
If you wanna scream, ah-ooh
Yeah, let me know and I'll take you there
Get you going like ah-ooh
Baby baby ooh baby baby
Ah-ooh baby baby ooh baby (hey)
If you wanna turn right
Hope you're ready to go all night
Get you going like ah-ooh
Baby baby ooh baby baby
Ah-ooh baby baby ooh baby
If you wanna scream",2012,"Eurodance, Synth-pop, Hip-Hop/Rap"
